country1,country2,r,p,ci_low,ci_high,n,n_eff,autocorr1,p_corrected,significant
EE,HR,-0.051950799903695284,1.1466422038620011e-06,-0.07281423252264034,-0.031041919525906365,8759,57.36216886494661,0.9869873383678539,1.398344151051221e-06,True
EE,HU,0.09830748052925667,2.9275073106467014e-20,0.07752443574864641,0.11900512405943622,8759,57.36216886494661,0.9869873383678539,4.4581329603756874e-20,True
EE,IE,0.11044340932535623,5.251338782207861e-18,0.08557677327723331,0.1351725381091382,6096,57.36216886494661,0.9869873383678539,7.76059918552886e-18,True
EE,LT,0.6125983283688385,0.0,0.5993449313597866,0.6255159658033984,8759,57.36216886494661,0.9869873383678539,0.0,True
EE,LU,0.2177585909471992,1.6376085622157376e-94,0.1977176172174822,0.23761760307612245,8759,57.36216886494661,0.9869873383678539,4.235194557454494e-94,True
EE,LV,0.6384621708511728,0.0,0.6258883277124252,0.6507041986939363,8759,57.36216886494661,0.9869873383678539,0.0,True
EE,NL,0.227452964865373,3.631091009598462e-103,0.2074987249357897,0.2472180032577177,8759,57.36216886494661,0.9869873383678539,1.0180628998874192e-102,True
EE,NO,0.26915497615543765,3.148410814187441e-145,0.24961938193630642,0.28847156761938353,8759,57.36216886494661,0.9869873383678539,1.0612620721980138e-144,True
EE,PL,0.43759094540342025,0.0,0.4205019039554148,0.45436961248221835,8759,57.36216886494661,0.9869873383678539,0.0,True
EE,PT,0.08391677671498557,3.647344109392795e-15,0.06308499119952082,0.1046754694609128,8759,57.36216886494661,0.9869873383678539,5.137104379426472e-15,True
EE,RO,0.09075433520519376,1.73920448821988e-17,0.06994462091050038,0.11148509615205233,8759,57.36216886494661,0.9869873383678539,2.5451772998339705e-17,True
EE,RS,-0.1334741189111001,4.172094299041008e-36,-0.1539863341682346,-0.11284690651982597,8759,57.36216886494661,0.9869873383678539,7.774088755977035e-36,True
EE,SE,0.5569604616480428,0.0,0.542343831243004,0.5712400400271739,8759,57.36216886494661,0.9869873383678539,0.0,True
EE,SI,,,,,8759,57.36216886494661,0.9869873383678539,,False
EE,SK,0.22801656075446347,1.1069670771189141e-103,0.20806748596098817,0.2477760165198637,8759,57.36216886494661,0.9869873383678539,3.132925689959191e-103,True
EE,UK_gridwatch,0.213880643994232,3.634619288488017e-91,0.19380609211344216,0.2337761608145713,8759,57.36216886494661,0.9869873383678539,9.240557513105128e-91,True
ES,FI,,,,,8759,36.18241052598117,0.9917722205550442,,False
ES,FR,0.3939465146916521,4e-323,0.3761068499410512,0.4114942235109321,8759,36.18241052598117,0.9917722205550442,2.17e-322,True
ES,GR,0.12611661407198282,2.1817437210014403e-32,0.10545248331588947,0.14667187548680263,8759,36.18241052598117,0.9917722205550442,3.8501359782378356e-32,True
ES,HR,0.042990388006274007,5.703912747077939e-05,0.02206760259127577,0.06387553237061576,8759,36.18241052598117,0.9917722205550442,6.65826390709487e-05,True
ES,HU,0.02562629745982401,0.01646666225214224,0.004686158838543797,0.046543971718294476,8759,36.18241052598117,0.9917722205550442,0.01776977940878659,True
ES,IE,0.1485008777364549,2.118734361869384e-31,0.12385871418953005,0.17295999408811208,6096,36.18241052598117,0.9917722205550442,3.6741058298313016e-31,True
ES,LT,0.08453209934552075,2.2929428193954612e-15,0.06370221946963009,0.10528835817906927,8759,36.18241052598117,0.9917722205550442,3.2601082740219824e-15,True
ES,LU,0.270251639755134,1.9196729992669243e-146,0.25072805339955634,0.289555471216429,8759,36.18241052598117,0.9917722205550442,6.544339770228151e-146,True
ES,LV,0.060498009974532856,1.4586074914087445e-08,0.03960553614635975,0.0813376097301003,8759,36.18241052598117,0.9917722205550442,1.830888064529805e-08,True
ES,NL,0.1869040949781571,1.10244503710419e-69,0.1666136116581006,0.20703635286723235,8759,36.18241052598117,0.9917722205550442,2.3966196458786736e-69,True
ES,NO,0.1205827200061592,9.866457763423297e-30,0.09989232670843301,0.14116887671847134,8759,36.18241052598117,0.9917722205550442,1.6722809768514063e-29,True
ES,PL,0.14097207513843735,4.062033647273922e-40,0.12038483722359457,0.16143811027087815,8759,36.18241052598117,0.9917722205550442,7.66421442881872e-40,True
ES,PT,0.6621937001073687,0.0,0.6502690381834689,0.6737921414410928,8759,36.18241052598117,0.9917722205550442,0.0,True
ES,RO,0.04916752323021783,4.1506436821684405e-06,0.028253962689081636,0.07003805875417883,8759,36.18241052598117,0.9917722205550442,4.980772418602128e-06,True
ES,RS,0.05658213582240701,1.1644824937084235e-07,0.03568176440058279,0.07743303282322968,8759,36.18241052598117,0.9917722205550442,1.4376327082820043e-07,True
ES,SE,0.022497011926782936,0.03525209397718968,0.0015550910019206043,0.043419208692835144,8759,36.18241052598117,0.9917722205550442,0.037635687520131335,True
ES,SI,,,,,8759,36.18241052598117,0.9917722205550442,,False
ES,SK,0.07782105415731591,3.0254736346015176e-13,0.056971251126139606,0.09860300661184333,8759,36.18241052598117,0.9917722205550442,4.0701439030513693e-13,True
ES,UK_gridwatch,0.1638843845975577,8.786589175873227e-54,0.14343402150061904,0.18419484944479297,8759,36.18241052598117,0.9917722205550442,1.781065373487816e-53,True
FI,FR,,,,,8759,,,,False
FI,GR,,,,,8759,,,,False
FI,HR,,,,,8759,,,,False
FI,HU,,,,,8759,,,,False
FI,IE,,,,,6096,,,,False
FI,LT,,,,,8759,,,,False
FI,LU,,,,,8759,,,,False
FI,LV,,,,,8759,,,,False
FI,NL,,,,,8759,,,,False
FI,NO,,,,,8759,,,,False
FI,PL,,,,,8759,,,,False
FI,PT,,,,,8759,,,,False
FI,RO,,,,,8759,,,,False
