pair,optimal_lag_hours,max_correlation
LV-NO,16.0,0.3111125518127502
LV-PL,1.0,0.47073403234958444
LV-PT,6.0,0.08814457643543334
LV-RO,37.0,0.051809728329991894
LV-RS,-35.0,0.07335821002323367
LV-SE,7.0,0.44600891030644063
LV-SI,-48.0,0.0
LV-SK,15.0,0.21551393963811336
LV-UK_gridwatch,22.0,0.271778593243812
NL-NO,-3.0,0.349674915139351
NL-PL,-16.0,0.4817825784542927
NL-PT,-7.0,0.1711088619377205
NL-RO,-46.0,0.10099882514023649
NL-RS,45.0,-0.0007363139290318448
NL-SE,-22.0,0.23640127249255893
NL-SI,-48.0,0.0
NL-SK,-19.0,0.31464072647103497
NL-UK_gridwatch,4.0,0.741914042336855
NO-PL,-15.0,0.3181231945914598
NO-PT,34.0,0.1529322690916723
NO-RO,-31.0,0.24291890057702964
NO-RS,2.0,-0.0005586271035554957
NO-SE,-8.0,0.6223824151864813
NO-SI,-48.0,0.0
NO-SK,20.0,0.24459027863325977
NO-UK_gridwatch,13.0,0.4025221558439869
PL-PT,4.0,0.1317653643733443
PL-RO,46.0,0.1876149731599974
PL-RS,-6.0,-0.022947946665279637
PL-SE,0.0,0.38339967001974756
PL-SI,-48.0,0.0
PL-SK,0.0,0.4236533982818614
PL-UK_gridwatch,24.0,0.40554514501470446
PT-RO,-46.0,0.14073662172588694
PT-RS,-44.0,0.09105905870732472
PT-SE,-45.0,0.05003004050305194
PT-SI,-48.0,0.0
PT-SK,-11.0,0.0870108235443647
PT-UK_gridwatch,22.0,0.17795407588875195
RO-RS,12.0,0.09229471863685396
RO-SE,-10.0,0.17604555634093452
RO-SI,-48.0,0.0
RO-SK,19.0,0.1719673179180563
RO-UK_gridwatch,48.0,0.07746224403147091
RS-SE,-24.0,-0.05463366002273399
RS-SI,-48.0,0.0
RS-SK,4.0,0.013555126453555546
RS-UK_gridwatch,-45.0,-0.028588836958314063
SE-SI,-48.0,0.0
SE-SK,48.0,0.24598911406448015
SE-UK_gridwatch,25.0,0.2678885558932614
SI-SK,-48.0,0.0
SI-UK_gridwatch,-48.0,0.0
SK-UK_gridwatch,30.0,0.29667791262990245
