country1,country2,best_copula,clayton_cvm,gumbel_cvm,gaussian_cvm,clayton_lambda_L,empirical_lambda_L,gumbel_lambda_U,gaussian_rho,n_obs
CH,HR,gaussian,1.8269547479815308e-05,2.106265010323092e-05,9.544368308605445e-06,9.965611939201553e-06,0.05409523809523809,0.033951720214842274,0.07227138795898341,52608
CH,HU,gaussian,9.411353496657031e-05,4.6262977819050974e-05,1.965911117333696e-05,0.024223936406849646,0.07001591270743351,0.13223909842340342,0.1837234318700875,87671
CH,IE,gumbel,0.000175366229292933,2.2828805997048704e-05,6.185477504270659e-05,0.008071568424055325,0.06498855835240275,0.1778222016084301,0.21562778371914934,87227
CH,IT,gumbel,0.00020062987646480917,1.234121447552737e-05,3.407149897579983e-05,0.04747080579005129,0.07185084129149613,0.21017536914268042,0.25604050904890313,87622
CH,LT,gumbel,0.00013893712643821287,8.063052882339376e-06,3.1640994564028304e-05,0.016640372669877584,0.0786908077994429,0.173589632956076,0.21754738164903914,86719
CH,LU,gumbel,0.0008704622892315719,4.037248649804207e-05,0.00020164185089124612,0.2509544368746748,0.10456922027733576,0.41673992243304414,0.4884819630399073,87672
CH,LV,gaussian,0.0002538788436312233,0.00013364035577585566,0.00012822015263653087,0.006208515194901713,0.10325221742096884,0.13670344428332215,0.16565450325341236,87587
CH,NL,gumbel,0.00044687282826874153,2.4808577341353873e-05,8.303090224149164e-05,0.15443015372344873,0.09820413730393271,0.31406789363420207,0.39089046868224575,87672
CH,NO,gumbel,0.0003108661686689107,4.1006953760287226e-05,5.7588853628119306e-05,0.07632009833838328,0.07365310297794954,0.24001725694575549,0.3094807637658121,87668
CH,PL,gumbel,0.0002629085572988185,1.5572541769260008e-05,5.126071438436482e-05,0.06813378758095355,0.08251875426233235,0.24123663754057878,0.29844269901932974,87672
CH,PT,gumbel,7.306859294669436e-05,5.7261037886238405e-06,2.2122664249965537e-05,0.0013842309467657881,0.07160718345078428,0.12390145964414545,0.14882322601609518,87672
CH,RO,gumbel,2.929687505951895e-05,5.917067059037785e-06,9.978339012286271e-06,2.462889947395043e-05,0.07073004321128042,0.06657708326625622,0.08386785946041085,87550
CH,RS,gaussian,0.0003613842977387566,0.00034866040836660874,0.00032625115935107336,3.953910495089175e-08,0.0,0.03683862766820245,0.061470310118648404,26304
CH,SE,gumbel,0.0001189242781174633,1.574758552014574e-05,2.7368874999262895e-05,0.015228545194826604,0.07959972708664999,0.15649657442594234,0.2045401474286477,87575
CH,SI,clayton,0.001151814403573556,0.0012480874318623032,0.0012443593866857303,4.353723522629906e-07,0.0,0.013687209743129536,0.015728284435443534,87652
CH,SK,gaussian,0.016313582035992643,0.016782244349810658,0.01595385968294314,0.26625544303156623,0.0,0.25981163094887605,0.3093399114625121,87145
CZ,DE,gumbel,0.0009739885242072196,1.4608909010986693e-05,0.00016740511329483966,0.4578418466923406,0.22440136830102622,0.5315811668174659,0.6582118089197291,87667
CZ,DK,gumbel,0.000342810005930548,1.5740513242644878e-05,4.887174209397317e-05,0.11082572263366562,0.08665906499429875,0.27671325342948205,0.3472100460047596,87665
CZ,EE,gumbel,0.00012664414673443572,1.0678709164902928e-05,1.8224658956780665e-05,0.013388110549698422,0.06987399770904926,0.15479451032516045,0.20030939571268944,87391
CZ,ES,gaussian,4.9094367375384875e-05,2.919211547530141e-05,1.1355714598238495e-05,0.0036358506179738725,0.07594070695553022,0.08835249670124856,0.13118024120808636,87644
CZ,FI,gaussian,4.629179312165935e-05,3.142817342664255e-05,2.912351585561211e-06,0.0191653718067368,0.08310502283105023,0.11961774471486764,0.17559386495854015,87612
CZ,FR,gumbel,0.0003001990523080636,2.6644059876930048e-05,3.327709754663891e-05,0.18704966047102564,0.13480839416058393,0.30019075197183653,0.38689103662612706,87648
CZ,GB,gumbel,0.00020732845252556618,1.0496887093104217e-05,3.488418792927402e-05,0.04011113592265005,0.07957436965070552,0.21070632688168778,0.2648500128446391,86373
CZ,GR,gumbel,6.032065751200923e-06,2.5519072204335818e-06,3.0797919995425187e-06,6.734237114486145e-09,0.07778284671532847,0.025956054259864025,0.04974132808683699,87631
CZ,HR,clayton,5.905365927351109e-06,7.63598856015521e-06,5.9734702498604225e-06,8.25993905129866e-31,0.04028886354998099,0.013687209743129536,0.008297626730864182,52607
CZ,HU,gaussian,0.000274899852007384,6.122488276210401e-05,2.3651419445635957e-05,0.2874347935799004,0.16579247434435576,0.33451390670112313,0.4451793254067599,87666
CZ,IE,gumbel,0.00012558374480235712,8.279615262706497e-06,2.5059441538762416e-05,0.010743822353894365,0.07791017415215398,0.15835063326818455,0.19900161346925876,87222
CZ,IT,gumbel,0.00010969856367651016,1.015845041581052e-05,1.2417504533647506e-05,0.018049487143570783,0.06963470319634703,0.15749533266302884,0.21101875598789466,87617
CZ,LT,gumbel,0.0002633166217162778,1.7223597159510762e-05,3.892433169809623e-05,0.08932274195608599,0.09007141211702373,0.24572160327104142,0.3130416055648517,86717
CZ,LU,gumbel,0.00038344259108774847,2.45562435255457e-05,4.534889840625814e-05,0.22249480301713034,0.11972633979475485,0.3339291785162317,0.4282392690082466,87667
CZ,LV,gaussian,0.00035803371798479494,0.00016322571938426583,0.0001481116191640203,0.044501284724332034,0.10799086757990868,0.18808734917743175,0.23692916210939324,87582
CZ,NL,gaussian,0.00021620698798658635,2.999560270798417e-05,1.6153465316596417e-05,0.1416422199261375,0.13181299885974915,0.2580057029406966,0.34270546872998203,87667
CZ,NO,gaussian,5.189288410535529e-05,2.0481873667161222e-05,2.736429679301735e-06,0.04231391584201086,0.10763968072976055,0.1515393413518169,0.21694060800081755,87663
CZ,PL,gumbel,0.0008800259519977905,2.9374948422061925e-05,0.00014962875344244573,0.4235870844837475,0.207981755986317,0.4919455528841883,0.6160462436036193,87667
