year,month,month_name,n_countries,n_samples,min,max,mean,std,cv_aggregate,cv_individual_mean,cv_reduction
2019,12,Dec,28,717,27167.984999999997,102122.94750000002,64867.783033472806,18566.10664691482,0.28621460112694797,0.6498781057617515,55.95872539951736
2020,1,Jan,28,744,26481.714999999997,102470.4875,65236.551041666666,18390.755441907873,0.2819087635421081,0.6729487845438579,58.10843707323238
2020,2,Feb,28,687,35458.532499999994,119800.2375,80776.31851892285,19068.66459055466,0.23606751260999337,0.5147447858569782,54.13892105444567
2020,3,Mar,28,742,20165.7475,108694.915,62347.44232816711,17789.167615607344,0.28532313357737554,0.6460944351848302,55.83878794811903
2020,4,Apr,28,713,11052.0,80527.05500000001,42021.08862201963,17224.292681811796,0.4098963936118977,0.7976729276832527,48.613475600532965
2020,5,May,28,742,9446.824999999999,89828.2925,38592.33465296496,13834.8828566288,0.3584878443099295,0.7237457954915918,50.467713036393825
2020,6,Jun,28,716,8798.8025,69434.265,33604.46943784916,13591.736837551889,0.404462176160512,0.8170444232540678,50.496917346348425
2020,7,Jul,28,742,13780.622499999998,84171.56750000002,35689.48686657682,14445.579668866678,0.4047572811251302,0.8394243122287498,51.78156324178151
2020,8,Aug,28,738,9426.97,77239.57500000001,32613.856446476966,14094.979300839334,0.43217763357641537,0.8673967857185245,50.17532452366504
2020,9,Sep,28,712,10477.004999999997,89538.99,39974.6320119382,16350.82924985538,0.40903013803785104,0.8036873851109165,49.10581581650669
2020,10,Oct,28,664,22380.0325,94957.53,61539.02614457831,15705.355431880882,0.25520968425764645,0.6811558099842276,62.53284776891855
2020,11,Nov,28,718,14556.234999999997,98697.86749999998,53730.46769498608,21860.678018473274,0.4068581375946822,0.8002565478571373,49.15903672589318
2020,12,Dec,28,737,31341.585,117946.69249999998,61118.99989145184,15832.70667491919,0.2590472145002093,0.6861886732906327,62.24839835114988
2021,1,Jan,28,744,26376.889999999992,122489.81250000001,57792.63653225806,21940.814082610865,0.3796472249602972,0.7514716695167261,49.47950263987336
2021,2,Feb,28,672,36199.855833333335,97590.2475,64319.53096726191,14842.846702952202,0.2307673342721837,0.6741471693429268,65.76899751769241
2021,3,Mar,28,741,18058.704999999994,124981.48499999999,56744.98639451193,25048.641876814516,0.4414247578220776,0.7699171055633375,42.66593706875842
2021,4,Apr,28,720,7712.6500000000015,100268.05250000002,46402.04275925926,19449.91490212045,0.41916074693154176,0.7434989140024235,43.623220015870054
2021,5,May,28,741,14923.960000000005,104118.33000000002,46940.056464237525,18720.885958749393,0.3988253821767849,0.7488497936671437,46.7416048519259
2021,6,Jun,28,321,8646.5325,67361.81999999999,28713.39015576324,11920.968965927801,0.41517107179818924,0.9276023451844146,55.24255906062312
2021,7,Jul,27,743,11807.927500000003,62097.49500000001,30330.947628981605,11186.794292523979,0.36882442412827404,0.8479177095220758,56.50233271620664
2021,8,Aug,27,740,10005.800000000001,70408.1675,34133.476899774774,13752.207328763736,0.40289500448911136,0.8525380788394967,52.741699815034
2021,9,Sep,27,720,9815.5725,78026.835,30063.39361458334,13188.13733952477,0.43867759936214873,0.8619982974928374,49.10922670751634
2021,10,Oct,27,742,22400.215,101894.34500000002,52234.26601078166,18886.72094264543,0.3615772247808943,0.7023397909121236,48.51819169873366
2021,11,Nov,27,719,18285.4525,97625.2625,49994.45955609643,16402.488382984982,0.3280861225148463,0.7535066143970044,56.45876011620706
2021,12,Dec,27,741,20347.02,104130.40249999998,59139.00601776877,17834.043479060703,0.3015614343214076,0.6896674717756646,56.27437182951559
2022,1,Jan,28,744,24677.36,100786.1925,64069.80464493728,18937.909792055,0.29558244943940926,0.6631664282158403,55.42861688058698
